9.39E+17,William,"RT @BrianKarem: If border crossings are down, why do you need a wall? If the economy is robust, why do you need corporate tax breaks? If yo…",https://twitter.com/William/status/938573496648474624,12/6/2017
9.39E+17,J. Nayer Hardin,"RT @Time4Hemp: Crop King Marijuana Seeds - 31 of the worlds best cannabis strains, Feminized, Auto flowering, medical &amp; regular varieties.…",https://twitter.com/J. Nayer Hardin/status/938573501442564096,12/6/2017
9.39E+17,empatn,RT @FarLeftWatchOrg: A NYC #Antifa group has launched a campaign to radicalize and recruit from within the prison system. They are sending…,https://twitter.com/empatn/status/938573502399041537,12/6/2017
9.39E+17,@blueinred,"RT @BrianKarem: If border crossings are down, why do you need a wall? If the economy is robust, why do you need corporate tax breaks? If yo…",https://twitter.com/@blueinred/status/938573511982972928,12/6/2017
9.39E+17,Deplorable OldGeezer,RT @RealJack: President Trump’s 11ish month legacy can’t be summed up in one tweet.But let’s recap:Travel Ban ApprovedGorsuch to SCOTU…,https://twitter.com/Deplorable OldGeezer/status/938573512155058177,12/6/2017
9.39E+17,#StruggleBeard,RT @kingdarius_4: Having birds??In this economy???,https://twitter.com/#StruggleBeard/status/938573516869439489,12/6/2017
9.39E+17,Denise J. Tartaglia,"RT @williamlegate: What values? As a state, Alabama ranks…#47 in Healthcare#47 in Education#45 in Economy#42 in Crime/Corrections#42…",https://twitter.com/Denise J. Tartaglia/status/938573524872105985,12/6/2017
9.39E+17,Marie Xavier ❤45🇺🇸,"Tom Donohue you can't prove that the DREAMERS are indispensable to our economy, However, it can be proven, that '… https://t.co/3ohwxU2Ocd",https://twitter.com/Marie Xavier ❤45🇺🇸/status/938573527879385088,12/6/2017
9.39E+17,Debra Davis Millard,RT @RealJack: President Trump’s 11ish month legacy can’t be summed up in one tweet.But let’s recap:Travel Ban ApprovedGorsuch to SCOTU…,https://twitter.com/Debra Davis Millard/status/938573535013847040,12/6/2017
9.39E+17,givemepie,RT @SenatorCantwell: DYK - Almost three million Americans rely on the internet economy today. We must keep an #openinternet and #netneutral…,https://twitter.com/givemepie/status/938573535890456576,12/6/2017
9.39E+17,The Australian,RT @AndrewBurrell7: End of the downturn? WA’s economy has grown for two consecutive quarters for the first time since 2013. https://t.co/iY…,https://twitter.com/The Australian/status/938573538365095936,12/6/2017
9.39E+17,Rick Dyer,"RT @45_Committee: .@SenateMajLdr: #taxreform “was a once-in-a-generation opportunity that we could not let pass,” which will provide middle…",https://twitter.com/Rick Dyer/status/938573544492957698,12/6/2017
9.39E+17,Holly Nabob,"RT @T_FisherKing: Jesus Christ, the bar for white men is low as hell!Obama only;-Saved the economy-made peace treaties-historical heal…",https://twitter.com/Holly Nabob/status/938573550696443909,12/6/2017
9.39E+17,Spaceman Spiff,RT @vettitwiter: @smitaprakash It was Shri Narasimma Rao. Who brought the Indian economy back on track. Never bent his back to Italian mafi…,https://twitter.com/Spaceman Spiff/status/938573568945901569,12/6/2017
9.39E+17,marilyn cole,"RT @TomSteyer: Our economy has always thrived on innovation. Thank you, @TomPerriello for reminding us. We must act sustainably and profita…",https://twitter.com/marilyn cole/status/938573580685602816,12/6/2017
9.39E+17,RonWasHereAgain,"RT @williamlegate: What values? As a state, Alabama ranks…#47 in Healthcare#47 in Education#45 in Economy#42 in Crime/Corrections#42…",https://twitter.com/RonWasHereAgain/status/938573583554629632,12/6/2017
9.39E+17,🇬🇧 PaulStP I Remain #FBPE 🇪🇺,RT @sarahobolt: This is deeply concerning from David Davis. How can we be 18 months post-Brexit ref with no detailed assessments of the imp…,https://twitter.com/🇬🇧 PaulStP I Remain #FBPE 🇪🇺/status/938573586297696256,12/6/2017
9.39E+17,hannah,RT @RepJoeKennedy: You mean this isn't how you're supposed to overhaul a $20T economy? https://t.co/vhmd8n0TAu,https://twitter.com/hannah/status/938573589141426177,12/6/2017
9.39E+17,simon hewitt,RT @DavidLammy: Here is David Davis back in June saying that @DExEUgov has 50-60 sectoral analyses already done. He just told Parliament th…,https://twitter.com/simon hewitt/status/938573590659821568,12/6/2017
9.39E+17,Robyn Swift,"RT @BrianKarem: If border crossings are down, why do you need a wall? If the economy is robust, why do you need corporate tax breaks? If yo…",https://twitter.com/Robyn Swift/status/938573605218242560,12/6/2017
9.39E+17,Marc Yves,RT @DuncanWeldon: Lack of Brexit impact assessments is staggering. Just really sinking in for me. This matters to the economy more than an…,https://twitter.com/Marc Yves/status/938573607269224448,12/6/2017
9.39E+17,Ana,"RT @williamlegate: What values? As a state, Alabama ranks…#47 in Healthcare#47 in Education#45 in Economy#42 in Crime/Corrections#42…",https://twitter.com/Ana/status/938573616144437248,12/6/2017
9.39E+17,SuperStructure,Economy's annual growth rate at fastest pace https://t.co/TYJaxLk2KE via @SkyNewsAust,https://twitter.com/SuperStructure/status/938573619587776513,12/6/2017
9.39E+17,traveljunkie,"RT @williamlegate: What values? As a state, Alabama ranks…#47 in Healthcare#47 in Education#45 in Economy#42 in Crime/Corrections#42…",https://twitter.com/traveljunkie/status/938573620225470464,12/6/2017
